k,balanced_accuracy_mean,roc_auc_mean,f1_mean
15,0.7954302832244009,0.8720522875816993,0.47190391983495433
20,0.7880610021786493,0.8674575163398692,0.44540501792114695
10,0.790631808278867,0.8553703703703703,0.4573759573759574
7,0.7643681917211329,0.8427369281045752,0.41424329501915713
50,0.7998420479302831,0.8289324618736383,0.4950284482542546
30,0.7795315904139434,0.8259782135076253,0.43850043677629885
5,0.7339705882352942,0.8160866013071896,0.3793377321603128
40,0.8013235294117648,0.8118376906318083,0.5021395593653658
3,0.7588289760348584,0.7954918300653595,0.373063636221531
